,Toplam Vaka,?yile?en,Ölüm,Ölüm/T.Vaka,?yile?en/T.Vaka
2/19/2020,2,0,2,1,0
2/20/2020,5,0,2,0.4,0
2/21/2020,18,0,4,0.222222222,0
2/22/2020,28,0,5,0.178571429,0
2/23/2020,43,0,8,0.186046512,0
2/24/2020,61,0,12,0.196721311,0
2/25/2020,95,0,16,0.168421053,0
2/26/2020,139,49,19,0.136690647,0.352517986
2/27/2020,245,49,26,0.106122449,0.2
2/28/2020,388,73,34,0.087628866,0.18814433
2/29/2020,593,123,43,0.072512648,0.207419899
3/1/2020,978,175,54,0.055214724,0.178936605
3/2/2020,1501,291,66,0.043970686,0.193870753
3/3/2020,2336,291,77,0.032962329,0.124571918
3/4/2020,2922,552,92,0.031485284,0.188911704
3/5/2020,3513,739,107,0.030458298,0.210361514
3/6/2020,4747,913,124,0.026121761,0.192331999
3/7/2020,5823,1669,145,0.024901254,0.286622016
3/8/2020,6566,2134,194,0.029546147,0.325007615
3/9/2020,7161,2394,237,0.033095936,0.33431085
3/10/2020,8042,2731,291,0.036185029,0.339592141
3/11/2020,9000,2959,354,0.039333333,0.328777778
3/12/2020,10075,2959,429,0.042580645,0.29369727
3/13/2020,11364,2959,514,0.045230553,0.260383668
3/14/2020,12729,2959,611,0.048000628,0.232461309
3/15/2020,13938,4590,724,0.051944325,0.32931554
3/16/2020,14991,4590,853,0.056900807,0.30618371
3/17/2020,16169,5389,988,0.061104583,0.333292102
3/18/2020,17361,5389,1135,0.065376418,0.310408387
3/19/2020,18407,5710,1284,0.069756071,0.310208073
3/20/2020,19644,6745,1433,0.072948483,0.343361841
3/21/2020,20610,7635,1556,0.075497331,0.370451237
3/22/2020,21638,7931,1685,0.077872262,0.366531103
3/23/2020,23049,7931,1812,0.078615124,0.344093019
3/24/2020,24811,8913,1934,0.077949297,0.359235823
3/25/2020,27017,9625,2077,0.076877522,0.356257171
3/26/2020,29406,10457,2234,0.07597089,0.355607699
3/27/2020,32332,11133,2378,0.073549425,0.344333787
3/28/2020,35408,11679,2517,0.07108563,0.329840714
3/29/2020,38309,12391,2640,0.06891331,0.323448798
3/30/2020,41495,13911,2757,0.06644174,0.33524521
3/31/2020,44605,14656,2898,0.064970295,0.32857303
4/1/2020,47593,15473,3036,0.063790894,0.325110836
4/2/2020,50468,16711,3160,0.062613934,0.33112071
4/3/2020,53183,17935,3294,0.061937085,0.337231822
4/4/2020,55743,19736,3452,0.061927058,0.354053424
4/5/2020,58226,19736,3603,0.061879573,0.338955106
4/6/2020,60500,24236,3739,0.061801653,0.400595041
4/7/2020,62589,27039,3872,0.061863906,0.432008819
4/8/2020,64586,29812,3993,0.061824544,0.461586102
4/9/2020,66220,32309,4110,0.062065841,0.487903957
4/10/2020,68192,35465,4232,0.062060066,0.520075669
4/11/2020,70029,41947,4357,0.062217081,0.598994702
4/12/2020,71686,43894,4474,0.062411071,0.612309238
4/13/2020,73303,45983,4585,0.0625486,0.627300383
4/14/2020,74877,48129,4683,0.06254257,0.64277415
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
